2026-06-26 03:14:09,332 | INFO | Regime: Headline Repricing
2026-06-26 03:17:06,855 | INFO | Logger initialized.
2026-06-26 03:19:32,331 | INFO | Logger initialized.
2026-06-26 03:22:59,071 | INFO | Logger initialized.
2026-06-26 03:23:00,313 | INFO | Downloaded ^GSPC (370 rows)
2026-06-26 03:23:00,319 | INFO | Market cache saved.
2026-06-26 03:23:49,405 | INFO | Logger initialized.
2026-06-26 03:23:49,415 | INFO | ============================================================
2026-06-26 03:23:49,415 | INFO | Global Energy Stress OS
2026-06-26 03:23:49,415 | INFO | ============================================================
2026-06-26 03:23:50,128 | INFO | Downloaded CL=F (1377 rows)
2026-06-26 03:23:50,191 | INFO | Downloaded BZ=F (1378 rows)
2026-06-26 03:23:50,417 | INFO | Downloaded ^OVX (1375 rows)
2026-06-26 03:23:50,472 | INFO | Downloaded ^MOVE (1363 rows)
2026-06-26 03:23:50,551 | INFO | Downloaded DX-Y.NYB (1377 rows)
2026-06-26 03:23:50,627 | INFO | Downloaded JPY=X (1426 rows)
2026-06-26 03:23:50,866 | INFO | Downloaded GC=F (1377 rows)
2026-06-26 03:23:50,943 | INFO | Downloaded HG=F (1378 rows)
2026-06-26 03:23:51,004 | INFO | Downloaded ^GSPC (1375 rows)
2026-06-26 03:23:51,128 | INFO | Downloaded XLE (1375 rows)
2026-06-26 03:23:51,190 | INFO | Downloaded ^VIX (1376 rows)
2026-06-26 03:23:51,262 | INFO | Downloaded ^VVIX (1369 rows)
2026-06-26 03:23:51,325 | INFO | Downloaded ^SKEW (1335 rows)
2026-06-26 03:23:51,366 | INFO | Market cache saved.
2026-06-26 03:23:51,366 | INFO | Market Layer completed.
2026-06-26 03:24:04,337 | WARNING | GDELT status 429 for Hormuz Strait
2026-06-26 03:24:13,228 | WARNING | GDELT status 429 for Iran oil
2026-06-26 03:24:23,798 | WARNING | GDELT status 429 for oil supply disruption
2026-06-26 03:24:32,619 | WARNING | GDELT status 429 for Middle East tanker
2026-06-26 03:24:42,177 | WARNING | GDELT status 429 for Saudi OSP
2026-06-26 03:24:59,031 | INFO | Completed.
2026-06-26 03:24:59,031 | INFO | Date: 2026-06-26
2026-06-26 03:24:59,032 | INFO | War Premium Score: 0.408
2026-06-26 03:24:59,032 | INFO | Hormuz Closure Probability: 27.32 %
2026-06-26 03:24:59,032 | INFO | Regime: Headline Repricing
